"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"notification_close";"Ok";"Ok";"Ok";"Ok";"Ок";"Vale";"Ok";"Okay";"Ok";"Oké";"Ok";"Ok";"Ok";"Tamam";"Ок";"Ok";"ΟΚ";"OK";"";"Ok";"";"Ок";"";"确定";"確定";"";"확인";"";""
"notification_message_loot_and_close";"Einsammeln";"Collect";"Collecter";"Receber";"Собрать";"Recoger";"Raccogli";"Indsamle";"";"Verzamel";"Zbierz";"Kerää";"Coletar";"Topla";"Събери";"Vzít";"Σύλλεξε";"Begyűjtés";"";"Colectează";"";"Зібрати";"";"收取";"領取";"";"수령";"";""
"notification_reward_message";"Du hast folgende Belohnung erhalten:";"You received following reward:";"Vous avez reçu la récompense suivante:";"Você recebeu a seguinte recompensa:";"Вы получили следующую награду:";"Recibiste la siguiente recompensa:";"Hai ricevuto le seguenti ricompense:";"Du modtog følgende præmie:";"";"Je hebt de volgende beloning ontvangen:";"Dostałeś następującą nagrodę:";"Sait seuraavat palkinnon:";"Você recebeu a seguinte recompensa:";"Ödülünüz:";"Получихте следната награда:";"Obdržel jsi následující odměnu:";"Έλαβες την εξής ανταμοιβή:";"A következő jutalmat kaptad:";"";"Ai primit următoarea recompensă:";"";"Ви отримали наступну нагороду:";"";"您得到下列奖励：";"你得到下列獎勵：";"";"다음과 같은 보상을 받았습니다.";"";""
"notification_reward_close";"Juhu!";"Yay!";"Yay!";"Uhuu!";"Ура!";"¡Hurra!";"Yay!";"";"Yay!";"Jeej!";"Jej!";"Jei!";"Uhul!";"Harika!";"";"Yay!";"Άλα!";"Hurrá!";"";"Yay!";"";"Ура!";"";"耶！";"耶！";"";"오예!";"";""
"notification_card_unlocked_to_shop";"Kartenhändler";"Card Vendor";"Vendeur de carte";"Para a loja";"Продавец карт";"Tienda de Cartas";"Venditore di Carte";"Kort forhandler";"";"Naar de winkel";"Do sklepu";"Kauppaan";"Para a loja";"Kart Tüccarı";"Продавач на карти";"Obchodník s Kartami";"Προμηθευτής";"Kártyakereskedő";"";"Vânzător de cărți";"Vendedor de Tarjetas";"Продавець карт";"بائع البطاقات";"卡牌供应商";"卡片商人";"";"카드 상인";"";""
"notification_caption_ntCardUnlock";"Freischaltung!";"Unlock!";"Déverrouillez!";"Desbloqueada!";"Разблокировать!";"¡Desbloquear!";"Sblocca!";"";"";"Ontgrendeld!";"Odblokuj!";"Avaa!";"Desbloquear!";"Aç!";"";"Odemknuto!";"Ξεκλείδωσε!";"Feloldás";"";"Deblochează!";"";"Розблоковано!";"";"解锁！";"解鎖！";"";"잠금 해제!";"";""
"notification_caption_ntReward";"Beute!";"Loot!";"Butin!";"Recompensas!";"Добыть!";"¡Botín!";"Bottino!";"Bytte!";"";"Buit!";"Łup!";"Saalis!";"Coletar!";"Ödül!";"";"Kořist!";"Λεηλάτησε!";"Zsákmány";"";"Comori!";"";"Здобич!";"";"战利品！";"戰利品！";"";"수집하기!";"";""
"starterdeck_redeem_dialog_caption";"Tutorial abgeschlossen!";"Tutorial completed!";"Tutoriel complété!";"Tutorial concluído!";"Обучение завершено!";"¡Tutorial completado!";"Addestramento completato!";"";"";"Training afgerond!";"Samouczek ukończony!";"Opetuspeli suoritettu!";"Tutorial concluído!";"Öğretici tamamlandı!";"";"Tutoriál dokončen!";"Το μάθημα ολοκληρώθηκε!";"";"";"Tutorial completat!";"";"Навчання пройдено!";"";"教学已完成！";"教學已結束！";"";"튜토리얼 완료!";"";""
"starterdeck_redeem_dialog_text";"Alle Starterdecks wurden für dich freigeschaltet und zu deinen Decks hinzugefügt!";"All starter decks unlocked!";"Tous les decks de départ sont déverrouillés!";"Todos os baralhos iniciais desbloqueados!";"Все стартовые колоды разблокированы!";"¡Todos los mazos iniciales desbloqueados!";"Tutti i mazzi base sbloccati!";"";"";"Alle beginner decks ontgrendeld!";"Wszystkie startowe talie zostały odblokowane!";"Kaikki aloituspakat avattu!";"Todos os decks iniciais desbloqueados!";"Tüm başlangıç desteleri açıldı!";"";"Všechny úvodní balíčky odemčeny!";"Όλες οι αρχικές τράπουλες ξεκλειδώθηκαν!";"";"";"Toate pachetele începătoare deblocate!";"";"Усі стартові колоди розблоковані!";"";"所有的新手牌组均已解锁！";"所有的新手牌組均已解鎖！";"";"모든 기본 덱 잠금 해제!";"";""
"starterdeck_redeem_dialog_redeem";"Super!";"Awesome!";"Génial!";"Incrível!";"Прекрасно!";"¡Increíble!";"Fantastico!";"Sejt!";"";"Geweldig!";"Niesamowite!";"Mahtavaa!";"Incrível!";"Müthiş!";"";"Úžasné!";"Τρομερά!";"Nagyszerű!";"";"Minunat!";"";"Дивовижно!";"رائع!";"极好的！";"太棒了！";"";"신난다!";"";""
"messages_closed_beta_reset_subject";"Closed Beta Belohnungen";"Closed Beta Rewards";"Récompenses de la bêta fermée";"Recompensas do Beta Fechado";"Награды закрытого бета-тестирования";"Recompensas de la Beta Cerrada";"Ricompense della Closed Beta";"";"";"Closed Beta Beloning";"Nagrody za Zamkniętą Betę";"Suljetun betan palkinnot";"Recompensas do Beta Fechado";"Kapalı Beta Ödülleri";"";"Odměna z uzavřené Bety";"Ανταμοιβές Κλειστού Βήτα";"Zárt Béta Jutalmak";"";"Recompense pentru ""Closed Beta""";"";"Нагороди закритого бета-тестування";"";"封闭测试奖励";"封閉測試獎勵";"";"클로즈 베타 보상";"";""
"messages_closed_beta_reset_text";"Vielen Dank für deine Teilnahme an unserer Closed Beta! Hier sind deine Belohnungen:";"Thanks for taking part in the closed beta! Here are your rewards:";"Merci d'avoir participé à la bêta fermée! Voici vos récompenses:";"Obrigado por fazeres parte do beta fechado! Aqui estão as tuas recompensas:";"Спасибо за участие в закрытом бета-тестировании! Вот ваши награды:";"¡Gracias por participar en la beta cerrada! Aquí están tus recompensas:";"Grazie per aver preso parte alla closed beta! Ecco le tue ricompense:";"";"";"Dankjewel voor het deelnemen in de closed beta! hier is jouw beloning:";"Dziękujemy za bycie częścią Zamkniętej Bety! Oto twoje nagrody:";"Kiitos kun osallistuit suljettuun betaan! Tässä ovat palkintosi:";"Obrigado por favor parte do Beta Fechado! Aqui estão suas recompensas:";"Kapalı betada yer aldığınız için teşekkürler! İşte ödülünüz:";"";"Díky za účast v uzařené betě! Zde je tvá odměna:";"Ευχαριστούμε που πήρες μέρος στο κλειστό βήτα! Ορίστε οι ανταμοιβές σου:";"";"";"Mulțumim pentru participarea în ""Closed Beta""! Aici sunt recompensele tale:";"";"Дякуємо за участь в закритому бета! Ось ваші призи:";"";"感谢您参与封闭测试！这是您的奖励：";"多謝你參與封閉測試！這是你的獎勵：";"";"클로즈 베타에 참여해 주셔서 감사합니다! 보상을 받아 가세요.";"";""
"notification_card_unlocked_hint";"Die Karte ist nun erhältlich mit";"You can now get it with";"Vous pouvez maintenant l'obtenir avec";"Agora podes recebê-lo com";"Теперь вы можете купить его с";"Ahora puedes comprarlo con";"Ora puoi comprarlo con i";"";"";"";"Możesz teraz zdobyć z";"Voit myös avata tämän käyttämällä:";"Você pode comprar isso com";"Bunu şununla alabilirsiniz:";"";"Nyní můžeš získat s";"Μπορείς να το πάρεις τώρα με";"";"";"Acum îl/o poți lua cu";"";"Тепер ви можете купити це за";"";"您现在可以得到";"你現在可以得到";"";"다음으로 얻을 수 있습니다.";"";""
"messages_referrer_bonus_subject";"Freund erfolgreich geworben";"Referred a Friend";"Ami référé";"Sugeriste um Amigo";"Приглашение отправлено";"Amigo Referido";"Consiglia ad un Amico";"";"";"";"Poleć Znajomego";"";"Amigo Recrutado";"Arkadaşına Öner";"";"Doporuč příteli";"Ανέφερες ένα φίλο";"";"";"A menționat un prieten";"";"Запросили друга";"";"推荐朋友";"推薦朋友";"";"친구 추천에 성공했습니다.";"";""
"messages_referrer_bonus_text";"Ein Freund wurde von dir geworben. Vielen Dank!";"A friend entered your referral code. Nice!";"Un ami a entré votre code de référence. Super!";"Um amigo utilizou o teu código. Boa!";"Друг ввел ваш реферальный код. Так держать!";"Un amigo ingresó tu código de referencia. ¡Que bien!";"Un amico ha attivato il tuo codice di reclutamento. Bene!";"";"";"";"Przyjaciel wprowadził twój kod polecający. Świetnie!";"";"Um amigo adicionou seu código de recrutamento. Irado!";"Arkadaşın senin öneri kodunu girdi. Harika!";"";"Přítel vložil tvůj referenční kód. Nice!";"Ένας φίλος εισήγαγε τον κωδικό σου αναφοράς. Τέλεια!";"";"";"Un prieten a introdus codul tău de recomandare! Minunat!";"";"Друг увійшов за вашим реферальним кодом. Добре!";"";"一个朋友使用了您的推荐码。好极了！";"一個朋友使用了你的推薦碼。好極了！";"";"친구가 추천 코드를 사용했습니다. 좋았어!";"";""
"message_rebalance_compensation_subject";"Patchausgleich";"Patch Compensation";"Compensation pour la mise à jour";"Compensação de Atualização";"Компенсация за Изменения";"Compensación de parche";"Compenso per l'aggiornamento";"";"";"Patch Compensatie";"Kompensata Poprawki";"";"Compensação de Patch";"Yama Telafisi";"";"Kompenzace Úprav";"Αποζημίωση Ενημέρωσης";"";"";"Compensare pentru ""Patch""";"";"Компенсація патчу";"";"更新补偿";"更新補償";"";"패치 보상";"";""
"message_rebalance_compensation_text";"Mit dem letzten Patch hat sich einiges geändert, deshalb erhältst du zur Kompensation:";"With the last patch a lot of things changed. For compensation you get:";"Avec la dernière mise à jour beaucoup de choses ont changé. Pour compensation vous recevez:";"Com a última atualização mudámos algumas coisas. Como compensação recebes:";"Последнее обновление изменило много вещей. Вы получаете в виде компенсации:";"Con el último parche, muchas cosas cambiaron. Por compensación obtienes:";"Con l'ultima patch molte cose sono cambiate. Come rimborso ricevi:";"";"";"Bij de laatste patch zijn er heel wat dingen veranderd. Ter compensatie krijg je:";"Od ostatniej poprawki wiele się zmieniło. Jako kompensatę otrzymujesz:";"";"Com o último patch, muitas coisas mudaram. Por isso, você ganhará a seguinte compensação:";"Bir önceki yamada bir çok şey değişti. Bunun için alacağın telafi ödülü:";"";"S poslední úpravou se mnoho věcí změnilo. Jako kompenzaci získáváš:";"Με την τελευταία ενημέρωση πολλά πράγματα άλλαξαν. Για αποζημίωση παίρνεις:";"";"";"Cu ultimul ""Patch"" multe s-au schimbat. Pentru compensare primești:";"";"З останнім патчем багато чого змінилося. В компенсацію ви отримуєте:";"";"上一个更新改动了很多东西。这是您得到的补偿：";"上一個更新改動了很多東西。這是你得到的補償：";"";"마지막 패치로 많은 것이 바뀌었습니다. 보상으로 다음과 같은 혜택을 받을 수 있습니다.";"";""
"levelup_reward_card_vendor_unlocked";"§navbar_menu_collection freigeschaltet!";"§navbar_menu_collection unlocked!";"§navbar_menu_collection déverrouillé!";"§navbar_menu_collection desbloqueado!";"§navbar_menu_collection разблокировано!";"§navbar_menu_collection desbloqueado!";"§navbar_menu_collection sbloccata!";"";"";"";"§navbar_menu_collection odblokowane!";"";"§navbar_menu_collection desbloqueado!";"§navbar_menu_collection kilidi açıldı!";"";"§navbar_menu_collection odemknuto!";"Ξεκλειδώθηκε ο §navbar_menu_collection!";"";"";"§navbar_menu_collection deblocat!";"";"§navbar_menu_collection розблоковано!";"";"§navbar_menu_collection 已解锁！";"§navbar_menu_collection 已解鎖！";"";"§navbar_menu_collection 잠금 해제!";"";""
"levelup_reward_2v2_unlocked";"§teambuilding_mode_pvp_duo und §teambuilding_mode_pve_duo freigeschaltet!";"§teambuilding_mode_pvp_duo and §teambuilding_mode_pve_duo unlocked!";"§teambuilding_mode_pvp_duo et §teambuilding_mode_pve_duo déverrouillés!";"§teambuilding_mode_pvp_duo e §teambuilding_mode_pve_duo desbloqueados!";"Теперь доступно §teambuilding_mode_pvp_duo и §teambuilding_mode_pve_duo !";"§teambuilding_mode_pvp_duo y §teambuilding_mode_pve_duo desbloqueado!";"§teambuilding_mode_pvp_duo e §teambuilding_mode_pve_duo sbloccate!";"";"";"";"§teambuilding_mode_pvp_duo and §teambuilding_mode_pve_duo odblokowane!";"";"§teambuilding_mode_pvp_duo e §teambuilding_mode_pve_duo desbloqueado!";"§teambuilding_mode_pvp_duo ve §teambuilding_mode_pve_duo kilidi açıldı!";"";"§teambuilding_mode_pvp_duo a §teambuilding_mode_pve_duo odemknuto!";"Ξεκλειδώθηκαν τα §teambuilding_mode_pvp_duo και §teambuilding_mode_pve_duo!";"";"";"§teambuilding_mode_pvp_duo and §teambuilding_mode_pve_duo deblocat!";"";"§teambuilding_mode_pvp_duo і §teambuilding_mode_pve_duo розблоковано!";"";"§teambuilding_mode_pvp_duo 和 §teambuilding_mode_pve_duo 已解锁！";"§teambuilding_mode_pvp_duo 和 §teambuilding_mode_pve_duo 已解鎖！";"";"§teambuilding_mode_pvp_duo와 §teambuilding_mode_pve_duo 잠금 해제!";"";""
"levelup_reward_leaderboard_unlocked";"§navbar_menu_leaderboards freigeschaltet!";"§navbar_menu_leaderboards unlocked!";"§navbar_menu_leaderboards déverrouillé!";"§navbar_menu_leaderboards desbloqueadas!";"§navbar_menu_leaderboards разблокировано!";"§navbar_menu_leaderboards desbloqueadas!";"§navbar_menu_leaderboards sbloccata!";"";"";"";"§navbar_menu_leaderboards odblokowane!";"";"§navbar_menu_leaderboards desbloqueado!";"§navbar_menu_leaderboards kilidi açıldı!";"";"§navbar_menu_leaderboards odemknuto!";"Οι §navbar_menu_leaderboards ξεκλειδώθηκαν!";"";"";"§navbar_menu_leaderboards deblocat!";"";"§navbar_menu_leaderboards розблоковано!";"";"§navbar_menu_leaderboards 已解锁！";"§navbar_menu_leaderboards 已解鎖！";"";"§navbar_menu_leaderboards 잠금 해제!";"";""
"levelup_reward_custom_games_unlocked";"Freies Spiel freigeschaltet!";"Custom Games unlocked!";"Parties personnalisées déverrouillées!";"Jogos Personalizados desbloqueados!";"Кастомные игры разблокированы!";"Juegos personalizados desbloqueados!";"Partite Personalizzate sbloccate!";"";"";"";"Gry niestandardowe odblokowane!";"";"Partidas Customizadas Desbloqueadas!";"Özel oyun kilidi açıldı!";"";"Vlastní Zápasy odemknuto!";"Ξεκλειδώθηκαν Προσαρμοσμένα Παιχνίδια!";"";"";"Meciuri customizabile deblocate!";"";"Користувацькі ігри розблоковано!";"";"客制游戏已解锁！";"客制遊戲已解鎖！";"";"사용자 지정 게임 잠금 해제!";"";""
